************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp

  1   0   0   6.36130    .1572  1.78582e+05   38.6%   2    1  343.724
  0   0   1   6.36130    .1572  9.56248e+04   20.6%   2    1  343.724
  0   1   0   6.36130    .1572  1.18659e+05   25.6%   2    1  343.724
  1   0   1   4.49812    .2223  1.19227e+04    2.6%   2    2  243.050
  1   1   0   4.49812    .2223  8.93116e+03    1.9%   2    2  243.050
  0   1   1   4.49812    .2223  2.88956e+04    6.2%   2    2  243.050
  0   1  -1   4.49812    .2223  2.88956e+04    6.2%   2    2  243.050
  1  -1   0   4.49812    .2223  8.93122e+03    1.9%   2    2  243.050
  1   0  -1   4.49812    .2223  1.19227e+04    2.6%   2    2  243.050
  1   1   1   3.67270    .2723  1.22414e+05   26.4%   2    3  198.449
  1   1  -1   3.67270    .2723  1.22414e+05   26.4%   2    3  198.449
 -1   1   1   3.67270    .2723  1.22414e+05   26.4%   2    3  198.449
  1  -1   1   3.67270    .2723  1.22414e+05   26.4%   2    3  198.449
  2   0   0   3.18065    .3144  2.85874e+05   61.7%   2    4  171.862
  0   2   0   3.18065    .3144  3.93140e+05   84.9%   2    4  171.862
  0   0   2   3.18065    .3144  4.63234e+05  100.0%   2    4  171.862
  1   2   0   2.84486    .3515  5.12566e+04   11.1%   2    5  153.718
  0   1   2   2.84486    .3515  2.60068e+04    5.6%   2    5  153.718
  1   0   2   2.84486    .3515  4.00954e+04    8.7%   2    5  153.718
  2   1   0   2.84486    .3515  7.61228e+04   16.4%   2    5  153.718
  0   2   1   2.84486    .3515  3.67102e+04    7.9%   2    5  153.718
  2   0   1   2.84486    .3515  7.47846e+04   16.1%   2    5  153.718
  2   0  -1   2.84486    .3515  7.47846e+04   16.1%   2    5  153.718
  1  -2   0   2.84486    .3515  5.12565e+04   11.1%   2    5  153.718
  2  -1   0   2.84486    .3515  7.61227e+04   16.4%   2    5  153.718
  0   1  -2   2.84486    .3515  2.60068e+04    5.6%   2    5  153.718
  0   2  -1   2.84486    .3515  3.67102e+04    7.9%   2    5  153.718
  1   0  -2   2.84486    .3515  4.00954e+04    8.7%   2    5  153.718
  2   1   1   2.59699    .3851  6.24894e+02    0.1%   2    6  140.325
